source_id,source_type,source_name,priority,root_url,category_url_hint,search_keyword,collection_status,expected_fields,notes
retailer-homepro-air,retailer,HomePro,high,https://www.homepro.co.th,https://www.homepro.co.th/search?q=แอร์ติดผนัง,แอร์ติดผนัง,ready,brand|series|model|btu|price|category|product_url,"ใช้เป็น source แรกเพราะมีรายการแอร์ติดผนังจำนวนมากและแยกแบรนด์ได้ดี"
retailer-powerbuy-air,retailer,Power Buy,high,https://www.powerbuy.co.th,,แอร์ติดผนัง,pending_url_check,brand|series|model|btu|price|product_url,"ใช้ยืนยันรุ่นที่ขายใน retail และราคาโปรโมชัน"
retailer-thaiwatsadu-air,retailer,Thai Watsadu,high,https://www.thaiwatsadu.com,,แอร์ติดผนัง,pending_url_check,brand|series|model|btu|price|product_url,"เหมาะตรวจรุ่นตลาดกลางและรุ่นพร้อมติดตั้ง"
retailer-globalhouse-air,retailer,Global House,medium,https://www.globalhouse.co.th,,แอร์ติดผนัง,pending_url_check,brand|series|model|btu|price|product_url,"ใช้เพิ่ม coverage กลุ่มบ้านและวัสดุก่อสร้าง"
retailer-dohome-air,retailer,DoHome,medium,https://www.dohome.co.th,,แอร์ติดผนัง,pending_url_check,brand|series|model|btu|price|product_url,"ใช้ cross-check รุ่นที่ร้านวัสดุก่อสร้างขาย"
retailer-boonthavorn-air,retailer,Boonthavorn,medium,https://www.boonthavorn.com,,แอร์ติดผนัง,pending_url_check,brand|series|model|btu|price|product_url,"ใช้เสริม coverage ร้านบ้าน/ตกแต่ง"
brand-daikin-th,brand,Daikin Thailand,high,https://www.daikin.co.th,,แอร์ติดผนัง,pending_url_check,series|model|btu|inverter|warranty|spec_url,"ใช้ยืนยันชื่อซีรีส์และสเปก official"
brand-mitsubishi-electric-th,brand,Mitsubishi Electric Thailand,high,https://www.mitsubishi-kyw.co.th,,แอร์ติดผนัง,pending_url_check,series|model|btu|inverter|warranty|spec_url,"แยกจาก Mitsubishi Heavy Duty ให้ชัด"
brand-mitsubishi-heavy-th,brand,Mitsubishi Heavy Duty Thailand,high,https://www.mitsubishiheavy-duty.com,,แอร์ติดผนัง,pending_url_check,series|model|btu|inverter|warranty|spec_url,"แยก product key จาก Mitsubishi Electric"
brand-panasonic-th,brand,Panasonic Thailand,high,https://www.panasonic.com/th,,เครื่องปรับอากาศ,pending_url_check,series|model|btu|inverter|warranty|spec_url,"ใช้ยืนยันรุ่นยอดนิยมและฟีเจอร์"
brand-carrier-th,brand,Carrier Thailand,high,https://www.carrierthailand.com,,แอร์ติดผนัง,pending_url_check,series|model|btu|inverter|warranty|spec_url,"ใช้ตรวจรุ่น carrier official"
brand-haier-th,brand,Haier Thailand,high,https://www.haier.com/th,,เครื่องปรับอากาศ,pending_url_check,series|model|btu|inverter|warranty|spec_url,"ช่วยแยก Haier/CANDY/official shop"
brand-midea-th,brand,Midea Thailand,high,https://www.midea.com/th,,เครื่องปรับอากาศ,pending_url_check,series|model|btu|inverter|warranty|spec_url,"ต่อยอด Celest/Numen/Tornado"
brand-hisense-th,brand,Hisense Thailand,medium,https://www.hisense.co.th,,เครื่องปรับอากาศ,pending_url_check,series|model|btu|inverter|warranty|spec_url,"ใช้ยืนยัน CE/DB และรุ่นย่อย"
brand-tcl-th,brand,TCL Thailand,medium,https://www.tcl.com/th,,เครื่องปรับอากาศ,pending_url_check,series|model|btu|inverter|warranty|spec_url,"ต่อยอด SaveIN AI"
brand-lg-th,brand,LG Thailand,high,https://www.lg.com/th,https://www.lg.com/th/air-conditioners/,เครื่องปรับอากาศ,ready,series|model|btu|inverter|warranty|spec_url,"ใช้ยืนยันฟีเจอร์กลุ่ม inverter ประหยัดไฟ Wi-Fi และฟอกอากาศ"
