product_key,marketplace,match_status,platform_product_url,affiliate_url,shop_name,shop_type,price_visible,rating,reviews_count,comments_count,media_count,sold_count_visible,evidence_id,match_confidence,last_checked,next_action,notes
candy-vpct-vpgt-series,Shopee,review_qualified,https://shopee.co.th/product/184920733/26853787935,,haier.officialshop,official-like,7995,4.9,10400,2200,2100,false,air-shopee-2026-06-15-candy-vpct-vpgt,high,2026-06-15,refresh_affiliate_link,"Shopee detail proof exists. Sold count was not visible, so public copy must not claim sold quantity."
tcl-savein-ai-series,Shopee,review_qualified,https://shopee.co.th/product/1025131800/23777230236,,TCL Authorized Store,authorized,8590,4.9,9200,1600,1500,false,air-shopee-2026-06-15-tcl-savein-ai,high,2026-06-17,refresh_affiliate_link,"Shopee detail proof exists. Sold count was not visible, so use review/rating counts only."
xiaomi-mijia-air-inverter-eco,Shopee,review_qualified,https://shopee.co.th/product/389528981/49105546219,,XIAOMI OFFICIAL STORE,official,7924,4.9,4300,942,927,false,air-shopee-2026-06-14-xiaomi-mijia-eco,high,2026-06-14,refresh_affiliate_link,"Shopee detail proof exists. Sold count was not visible, so use review/rating counts only."
midea-celest-msce,Shopee,review_qualified,https://shopee.co.th/product/338734338/57308205291,,Lucky Plaza Online,reseller,7490,5.0,193,35,41,false,air-shopee-2026-06-15-midea-celest-msce,medium_high,2026-06-15,refresh_affiliate_link,"Shopee detail proof exists. Sold count was not visible, so use review/rating counts only."
mitsubishi-msy-gt09vf,Shopee,search_candidate_only,https://shopee.co.th/product/12389480/9782528111,,,,22455,5.0,,,,unknown,air-shopee-2026-06-18-review-queue-search-candidate-mitsubishi-msy-gt09vf,low,2026-06-18,detail_capture_before_affiliate,"Shopee search showed a real MSY/GT-VF series air-conditioner listing, but the product detail page opened traffic verification. Do not use sold or review counts until detail capture is available."
mitsubishi-heavy-duty-dxk10cxv-w1,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Exact Shopee search reached CAPTCHA/Verify to Continue. Keep HomePro proof separate until product detail capture or user affiliate link is available."
sharp-ah-au-xp10ymb,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
daikin-ftkz09vv2s,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
panasonic-cs-cu-xku9wkt,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
daikin-ftkq09yv2s,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
mitsubishi-msy-ky09vf,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
panasonic-cs-cu-yn9ykt,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
lg-icq11mn-ju1,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
mitsubishi-heavy-duty-dxk10yyp-w1,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
daikin-ftm09pv2s,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
panasonic-cs-cu-yu9zkt,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
panasonic-cs-cu-xu9akt,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
panasonic-cs-cu-tu9akt,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
sharp-ah-x10bb,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
mitsubishi-msy-gy09vf,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
mitsubishi-msy-jy09vf,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
daikin-ftkc09yv2s,Shopee,needs_marketplace_match,,,,,,,,,,unknown,air-shopee-2026-06-18-search-blocked-verification,pending,2026-06-18,capture_exact_search_or_user_affiliate_link,"Shopee detail was not captured in this round because search pages triggered traffic verification."
