queue_rank,review_status,source_status,brand,series,model,btu_options,price_from,rating,ratings_count,comments_count,media_count,sold_count_visible,shop_name,shop_type,product_url,priority,next_action,review_slug,notes
1,done,review_signal_pass,CANDY,VPCT/VPGT Series,,9000/12000/18000/23200 BTU,7995,4.9,10400,2200,2100,false,haier.officialshop,official-like,https://shopee.co.th/product/184920733/26853787935,very_high,refresh_affiliate_link,candy-vpct-vpgt-air-conditioner,"Template review is live. Sold count not visible; use review/rating counts only."
2,done,review_signal_pass,TCL,SaveIN AI Series,,9200/12000/18100/24200 BTU,8590,4.9,9200,1600,1500,false,TCL Authorized Store,authorized,https://shopee.co.th/product/1025131800/23777230236,very_high,refresh_affiliate_link,tcl-savein-ai-air-conditioner,"Full review is live. Sold count not visible; use review/rating counts only."
3,done,review_signal_pass,Xiaomi,Mijia Air Inverter Eco,,9000/12000/18000 BTU,7924,4.9,4300,942,927,false,XIAOMI OFFICIAL STORE,official,https://shopee.co.th/product/389528981/49105546219,high,refresh_affiliate_link,xiaomi-mijia-air-inverter-eco,"Full review is live. Sold count not visible; use review/rating counts only."
4,done,review_signal_pass,Midea,Celest,MSCE,9360/12000/18000/24000 BTU,7490,5.0,193,35,41,false,Lucky Plaza Online,reseller,https://shopee.co.th/product/338734338/57308205291,medium,refresh_affiliate_link,midea-celest-msce-air-conditioner,"Full review is live. Sold count not visible; use review/rating counts only."
5,draft_review_created,search_candidate_only,MITSUBISHI,MSY-GT,MSY-GT09VF,9554 BTU,22455,5.0,,,,unknown,,,https://shopee.co.th/product/12389480/9782528111,medium_high,detail_capture_before_affiliate,mitsubishi-msy-gt09vf-air-conditioner,"Search result candidate found, but product detail was blocked by Shopee traffic verification. Do not use Shopee sold or review counts yet."
6,draft_review_created,needs_shopee_capture,MITSUBISHI HEAVY DUTY,DXK10CXV-W1,DXK10CXV-W1,9175 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,mitsubishi-heavy-duty-dxk10cxv-w1-air-conditioner,"Exact Shopee search was blocked by Verify to Continue. Use HomePro proof until Shopee capture is available."
7,draft_review_created,needs_shopee_capture,SHARP,AH/AU-XP10YMB,AH/AU-XP10YMB,9000 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,sharp-ah-au-xp10ymb-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
8,draft_review_created,needs_shopee_capture,DAIKIN,FTKZ,FTKZ09VV2S,8500 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,daikin-ftkz09vv2s-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
9,draft_review_created,needs_shopee_capture,PANASONIC,XKU9WKT,CS/CU-XKU9WKT,8876 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,panasonic-cs-cu-xku9wkt-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
10,draft_review_created,needs_shopee_capture,DAIKIN,FTKQ,FTKQ09YV2S,9200 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,daikin-ftkq09yv2s-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
11,draft_review_created,needs_shopee_capture,MITSUBISHI,MSY-KY,MSY-KY09VF,9212 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,mitsubishi-msy-ky09vf-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
12,draft_review_created,needs_shopee_capture,PANASONIC,YN9YKT,CS/CU-YN9YKT,9220 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,panasonic-cs-cu-yn9ykt-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
13,draft_review_created,needs_shopee_capture,LG,ICQ11MN,ICQ11MN.JU1,9200 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,lg-icq11mn-ju1-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
14,draft_review_created,needs_shopee_capture,MITSUBISHI HEAVY DUTY,DXK10YYP-W1,DXK10YYP-W1,9585 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,mitsubishi-heavy-duty-dxk10yyp-w1-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
15,draft_review_created,needs_shopee_capture,DAIKIN,FTM,FTM09PV2S,9200 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,daikin-ftm09pv2s-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
16,draft_review_created,needs_shopee_capture,PANASONIC,YU9ZKT,CS/CU-YU9ZKT,9080 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,panasonic-cs-cu-yu9zkt-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
17,draft_review_created,needs_shopee_capture,PANASONIC,XU9AKT,CS/CU-XU9AKT,9518 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,panasonic-cs-cu-xu9akt-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
18,draft_review_created,needs_shopee_capture,PANASONIC,TU9AKT,CS/CU-TU9AKT,9024 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,panasonic-cs-cu-tu9akt-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
19,draft_review_created,needs_shopee_capture,SHARP,AH-X10BB,AH-X10BB,9300 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,sharp-ah-x10bb-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
20,draft_review_created,needs_shopee_capture,MITSUBISHI,MSY-GY,MSY-GY09VF,9554 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,mitsubishi-msy-gy09vf-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
21,draft_review_created,needs_shopee_capture,MITSUBISHI,MSY-JY,MSY-JY09VF,9212 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,mitsubishi-msy-jy09vf-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
22,draft_review_created,needs_shopee_capture,DAIKIN,FTKC,FTKC09YV2S,9200 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,daikin-ftkc09yv2s-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
23,draft_review_created,needs_shopee_capture,LG,ICE11MN,ICE11MN.JU1,9200 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,lg-ice11mn-ju1-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
24,draft_review_created,needs_shopee_capture,LG,IEQ10EN,IEQ10EN.JU1,9200 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,lg-ieq10en-ju1-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
25,draft_review_created,needs_shopee_capture,CARRIER,42TVBA,42TVBA010,9200 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,carrier-42tvba010-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
26,draft_review_created,needs_shopee_capture,CARRIER,42TVAB,42TVAB010ABI,9200 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,carrier-42tvab010abi-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
27,draft_review_created,needs_shopee_capture,BEKO,BSEOG,BSEOG090,8900 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,beko-bseog090-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
28,draft_review_created,needs_shopee_capture,SAMSUNG,AR10DY,AR10DYEAAWKNST,10000 BTU,,,,,,unknown,,,,medium,capture_exact_search_or_user_affiliate_link,samsung-ar10dyeaawknst-air-conditioner,"Needs Shopee detail capture or user affiliate link before marketplace proof can be displayed."
