round_id,phase,round_order,work_type,scope,status,target_candidates,target_detail_pages,expected_output,source_file,stop_condition,notes
air-round-025,phase_5_review_queue_exact_search,25,search_capture,24 non-verified review queue models,blocked_by_verification,24,0,"Updated Shopee model proof map, marketplace match, review queue, evidence ledger, and coverage map with verified/candidate/needs-capture status",docs/air-conditioner-shopee-model-proof-map.csv,stopped_by_shopee_verify_to_continue,"Do not claim Shopee sold or review counts for rows without detail capture."
air-round-000,current_baseline,0,summary,แอร์ติดผนัง main search + 4 verified,done,15,4,"มี candidate 15 รายการ verified 4 รายการ รีวิวเต็ม 3 รายการ",docs/air-conditioner-shopee-2026-research.md,none,"ฐานข้อมูลเริ่มต้นก่อนทำ coverage map เต็ม"
air-round-001,phase_1_current_candidates,1,detail_verification,"Midea Tornado EASY; Hisense CE; Hisense CE/DB; CANDY PCT",pending,4,4,"ยืนยันว่าเป็น SKU แอร์จริงหรือ merge/reject",docs/air-conditioner-shopee-2026-candidates.csv,stop_if_shopee_verification,"เลือกกลุ่มที่น่าจะเป็น SKU จริงและช่วยเติมแบรนด์/ระบบแอร์"
air-round-002,phase_1_current_candidates,2,detail_verification,"Midea Numen; TCL 24,200 BTU; Zinney ZAC-BP12A; Zinney ZAC-BP09A-24A",pending,4,4,"ยืนยันรุ่นซ้ำ รุ่นแยก และความน่าเชื่อถือราคา",docs/air-conditioner-shopee-2026-candidates.csv,stop_if_shopee_verification,"Zinney ต้องเช็กหนักเพราะราคา/ชื่อมีความเสี่ยง"
air-round-003,phase_1_current_candidates,3,manual_check_cleanup,"ChiQ installment/app offer; unknown mini wall ac; duplicate Zinney/TCL/Midea",pending,3,3,"ตัดบริการ/อุปกรณ์ออก และรวมสินค้าซ้ำ",docs/air-conditioner-shopee-2026-candidates.csv,stop_if_shopee_verification,"รอบ cleanup เพื่อให้ candidate inventory ไม่รก"
air-round-004,phase_2_intent_keywords,4,search_capture,แอร์ 9000 BTU,pending,20,0,"candidate สำหรับห้องเล็ก/คอนโด",docs/air-conditioner-shopee-coverage-map.csv,stop_after_20_or_verification,"เก็บ search ก่อน ยังไม่เปิด detail เยอะ"
air-round-005,phase_2_intent_keywords,5,search_capture,แอร์ 12000 BTU,pending,20,0,"candidate สำหรับห้องนอนกลาง",docs/air-conditioner-shopee-coverage-map.csv,stop_after_20_or_verification,"ขนาดยอดนิยม ต้อง dedupe กับ 9000/18000"
air-round-006,phase_2_intent_keywords,6,search_capture,แอร์ 18000 BTU,pending,15,0,"candidate สำหรับห้องนั่งเล่น",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"เน้นรุ่นห้องใหญ่ที่ไม่ซ้ำหน้ารวม"
air-round-007,phase_2_intent_keywords,7,search_capture,แอร์ 24000 BTU,pending,15,0,"candidate สำหรับห้องใหญ่/แดดแรง",docs/air-conditioner-shopee-coverage-map.csv,stop_after_15_or_verification,"ต้องระวัง SKU แยกจากซีรีส์รวม"
air-round-008,phase_2_intent_keywords,8,search_capture,แอร์ inverter,pending,20,0,"candidate กลุ่มประหยัดไฟ",docs/air-conditioner-shopee-coverage-map.csv,stop_after_20_or_verification,"ใช้หาตัวเลือกที่ไม่เจอจาก BTU search"
air-round-009,phase_2_intent_keywords,9,search_capture,แอร์พร้อมติดตั้ง,pending,20,0,"candidate ที่มีติดตั้งหรือบริการช่าง",docs/air-conditioner-shopee-coverage-map.csv,stop_after_20_or_verification,"สำคัญมากต่อ conversion เพราะคนกลัวค่าช่าง"
