priority_rank,product_key,brand,series,model,btu_options,priority_status,strongest_signal_source,signal_type,review_or_rating_count,sold_count_visible,sold_count,popularity_score,affiliate_readiness,next_action,review_slug,notes
1,candy-vpct-vpgt-series,CANDY,VPCT/VPGT Series,,9000/12000/18000/23200 BTU,full_review_done,Shopee,reviews,10400,false,,10400,shopee_matched,refresh_affiliate_link,candy-vpct-vpgt-air-conditioner,"รีวิวเต็มเสร็จแล้ว แต่ยังต้องรีเฟรชลิงก์ affiliate/ราคาเป็นระยะ"
2,tcl-savein-ai-series,TCL,SaveIN AI Series,,9200/12000/18100/24200 BTU,pilot_done_expand,Shopee,reviews,9200,false,,9200,shopee_matched,expand_to_full_review,tcl-savein-ai-air-conditioner,"ลำดับถัดไปที่ควรทำจริง เพราะ popularity สูงมากและยังเป็น pilot"
3,xiaomi-mijia-air-inverter-eco,Xiaomi,Mijia Air Inverter Eco,,9000/12000/18000 BTU,full_review_done,Shopee,reviews,4300,false,,4300,shopee_matched,refresh_affiliate_link,xiaomi-mijia-air-inverter-eco,"รีวิวเต็มเสร็จแล้ว ต้องรีเฟรชราคาและลิงก์"
4,midea-celest-msce,Midea,Celest,MSCE,9360/12000/18000/24000 BTU,full_review_done,Shopee,reviews,193,false,,193,shopee_matched,refresh_affiliate_link,midea-celest-msce-air-conditioner,"รีวิวเต็มเสร็จแล้ว แต่ยังควรหา official/catalog source เพิ่ม"
5,mitsubishi-msy-gt09vf,MITSUBISHI,MSY-GT,MSY-GT09VF,9554 BTU,needs_marketplace_match,HomePro,reviews,86,false,,86,not_matched,match_shopee_lazada_tiktok_then_review,,"HomePro review signal สูงที่สุดใน first-page seed ควรจับคู่ marketplace ก่อน"
6,mitsubishi-heavy-duty-dxk10cxv-w1,MITSUBISHI HEAVY DUTY,DXK10CXV-W1,DXK10CXV-W1,9175 BTU,needs_marketplace_match,HomePro,reviews,13,false,,13,not_matched,match_shopee_lazada_tiktok_then_review,,"มีรีวิวจริงเกิน 5 จาก HomePro ต้องหา affiliate marketplace ก่อน"
7,sharp-ah-au-xp10ymb,SHARP,AH/AU-XP10YMB,AH/AU-XP10YMB,9000 BTU,needs_marketplace_match,HomePro,reviews,8,false,,8,not_matched,match_shopee_lazada_tiktok_then_review,,"มีรีวิวจริงเกิน 5 จาก HomePro ต้องหา affiliate marketplace ก่อน"
8,daikin-ftkz09vv2s,DAIKIN,FTKZ,FTKZ09VV2S,8500 BTU,needs_popularity_evidence,HomePro,reviews,4,false,,4,not_matched,find_more_reviews_or_sales_signal,,"มีรีวิวจริงจาก HomePro แต่ยังไม่ถึงเกณฑ์ >5 ต้องหา Shopee/Lazada/TikTok หรือ retailer อื่นเพิ่ม"
9,panasonic-cs-cu-xku9wkt,PANASONIC,XKU9WKT,CS/CU-XKU9WKT,8876 BTU,needs_popularity_evidence,HomePro,reviews,4,false,,4,not_matched,find_more_reviews_or_sales_signal,,"มีรีวิวจริงจาก HomePro แต่ยังไม่ถึงเกณฑ์ >5 ต้องหา marketplace/retailer เพิ่ม"
10,daikin-ftkq09yv2s,DAIKIN,FTKQ,FTKQ09YV2S,9200 BTU,needs_popularity_evidence,HomePro,reviews,3,false,,3,not_matched,find_more_reviews_or_sales_signal,,"มีรีวิวจริงจาก HomePro แต่ยังไม่ถึงเกณฑ์ >5"
11,mitsubishi-msy-ky09vf,MITSUBISHI,MSY-KY,MSY-KY09VF,9212 BTU,needs_popularity_evidence,HomePro,reviews,2,false,,2,not_matched,find_more_reviews_or_sales_signal,,"มีรีวิวจริงจาก HomePro แต่ยังไม่ถึงเกณฑ์ >5"
12,panasonic-cs-cu-yn9ykt,PANASONIC,YN9YKT,CS/CU-YN9YKT,9220 BTU,needs_popularity_evidence,HomePro,reviews,1,false,,1,not_matched,find_more_reviews_or_sales_signal,,"มีรีวิวจริงจาก HomePro 1 รีวิว ต้องหา marketplace/retailer เพิ่ม"
13,lg-icq11mn-ju1,LG,ICQ11MN,ICQ11MN.JU1,9200 BTU,needs_popularity_evidence,HomePro,reviews,1,false,,1,not_matched,find_more_reviews_or_sales_signal,,"มีรีวิวจริงจาก HomePro 1 รีวิว ต้องหา marketplace/retailer เพิ่ม"
14,mitsubishi-heavy-duty-dxk10yyp-w1,MITSUBISHI HEAVY DUTY,DXK10YYP-W1,DXK10YYP-W1,9585 BTU,needs_popularity_evidence,HomePro,reviews,1,false,,1,not_matched,find_more_reviews_or_sales_signal,,"มีรีวิวจริงจาก HomePro 1 รีวิว ต้องหา marketplace/retailer เพิ่ม"
15,daikin-ftm09pv2s,DAIKIN,FTM,FTM09PV2S,9200 BTU,needs_popularity_evidence,HomePro,reviews,1,false,,1,not_matched,find_more_reviews_or_sales_signal,,"มีรีวิวจริงจาก HomePro 1 รีวิว ต้องหา marketplace/retailer เพิ่ม"
16,sharp-ah-x10bb,SHARP,AH-X10BB,AH-X10BB,9300 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
17,mitsubishi-msy-gy09vf,MITSUBISHI,MSY-GY,MSY-GY09VF,9554 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
18,daikin-ftkc09yv2s,DAIKIN,FTKC,FTKC09YV2S,9200 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
19,panasonic-cs-cu-yu9zkt,PANASONIC,YU9ZKT,CS/CU-YU9ZKT,9080 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
20,lg-ice11mn-ju1,LG,ICE11MN,ICE11MN.JU1,9200 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
21,panasonic-cs-cu-xu9akt,PANASONIC,XU9AKT,CS/CU-XU9AKT,9518 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
22,mitsubishi-msy-jy09vf,MITSUBISHI,MSY-JY,MSY-JY09VF,9212 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
23,panasonic-cs-cu-tu9akt,PANASONIC,TU9AKT,CS/CU-TU9AKT,9024 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
24,carrier-42tvba010,CARRIER,42TVBA,42TVBA010,9200 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
25,lg-ieq10en-ju1,LG,IEQ10EN,IEQ10EN.JU1,9200 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
26,beko-bseog090,BEKO,BSEOG,BSEOG090,8900 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย และต้องตรวจ duplicate/ชุดโปรก่อนรีวิวเต็ม"
27,samsung-ar10dyeaawknst,SAMSUNG,AR10DY,AR10DYEAAWKNST,10000 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
28,carrier-42tvab010abi,CARRIER,42TVAB,42TVAB010ABI,9200 BTU,needs_sales_or_review_evidence,HomePro,none_visible,0,false,,0,not_matched,find_any_real_sales_or_review_signal,,"ยังไม่เห็นรีวิวหรือยอดขาย ต้องหา marketplace/retailer เพิ่มก่อนรีวิวเต็ม"
